"","unit","coicop","geo","time","values"
"117","I05","CP00","PL",2015-01-01,124.4
"118","I05","CP00","DE",2014-12-01,116.3
"119","I05","CP00","FR",2014-12-01,115.44
"120","I05","CP00","PL",2014-12-01,124.8
"121","I05","CP00","DE",2014-11-01,116.2
"122","I05","CP00","FR",2014-11-01,115.36
"123","I05","CP00","PL",2014-11-01,125.1
"124","I05","CP00","DE",2014-10-01,116.2
"125","I05","CP00","FR",2014-10-01,115.55
"126","I05","CP00","PL",2014-10-01,125.3
"127","I05","CP00","DE",2014-09-01,116.6
"128","I05","CP00","FR",2014-09-01,115.52
"129","I05","CP00","PL",2014-09-01,125.3
"130","I05","CP00","DE",2014-08-01,116.6
"131","I05","CP00","FR",2014-08-01,115.95
"132","I05","CP00","PL",2014-08-01,125.4
"133","I05","CP00","DE",2014-07-01,116.6
"134","I05","CP00","FR",2014-07-01,115.39
"135","I05","CP00","PL",2014-07-01,125.8
"136","I05","CP00","DE",2014-06-01,116.3
"137","I05","CP00","FR",2014-06-01,115.84
"138","I05","CP00","PL",2014-06-01,126
"139","I05","CP00","DE",2014-05-01,115.8
"140","I05","CP00","FR",2014-05-01,115.89
"141","I05","CP00","PL",2014-05-01,126
"142","I05","CP00","DE",2014-04-01,116.1
"143","I05","CP00","FR",2014-04-01,115.86
"144","I05","CP00","PL",2014-04-01,126.2
"145","I05","CP00","DE",2014-03-01,116.4
"146","I05","CP00","FR",2014-03-01,115.89
"147","I05","CP00","PL",2014-03-01,126.1
"148","I05","CP00","DE",2014-02-01,116
"149","I05","CP00","FR",2014-02-01,115.3
"150","I05","CP00","PL",2014-02-01,125.9
"151","I05","CP00","DE",2014-01-01,115.4
"152","I05","CP00","FR",2014-01-01,114.6
"153","I05","CP00","PL",2014-01-01,125.7
"154","I05","CP00","DE",2013-12-01,116.2
"155","I05","CP00","FR",2013-12-01,115.34
"156","I05","CP00","PL",2013-12-01,125.6
"157","I05","CP00","DE",2013-11-01,115.6
"158","I05","CP00","FR",2013-11-01,114.9
"159","I05","CP00","PL",2013-11-01,125.5
"160","I05","CP00","DE",2013-10-01,115.4
"161","I05","CP00","FR",2013-10-01,114.95
"162","I05","CP00","PL",2013-10-01,125.7
"163","I05","CP00","DE",2013-09-01,115.7
"164","I05","CP00","FR",2013-09-01,115.1
"165","I05","CP00","PL",2013-09-01,125.6
"166","I05","CP00","DE",2013-08-01,115.7
"167","I05","CP00","FR",2013-08-01,115.33
"168","I05","CP00","PL",2013-08-01,125.5
"169","I05","CP00","DE",2013-07-01,115.7
"170","I05","CP00","FR",2013-07-01,114.75
"171","I05","CP00","PL",2013-07-01,125.8
"172","I05","CP00","DE",2013-06-01,115.2
"173","I05","CP00","FR",2013-06-01,115.16
"174","I05","CP00","PL",2013-06-01,125.6
"175","I05","CP00","DE",2013-05-01,115.1
"176","I05","CP00","FR",2013-05-01,114.95
"177","I05","CP00","PL",2013-05-01,125.6
"178","I05","CP00","DE",2013-04-01,114.8
"179","I05","CP00","FR",2013-04-01,114.9
"180","I05","CP00","PL",2013-04-01,125.8
"181","I05","CP00","DE",2013-03-01,115.4
"182","I05","CP00","FR",2013-03-01,115.03
"183","I05","CP00","PL",2013-03-01,125.4
"184","I05","CP00","DE",2013-02-01,114.9
"185","I05","CP00","FR",2013-02-01,114.09
"186","I05","CP00","PL",2013-02-01,125
"187","I05","CP00","DE",2013-01-01,114
"188","I05","CP00","FR",2013-01-01,113.73
"189","I05","CP00","PL",2013-01-01,125
"190","I05","CP00","DE",2012-12-01,114.8
"191","I05","CP00","FR",2012-12-01,114.38
"192","I05","CP00","PL",2012-12-01,124.9
"193","I05","CP00","DE",2012-11-01,113.8
"194","I05","CP00","FR",2012-11-01,113.96
"195","I05","CP00","PL",2012-11-01,124.9
"196","I05","CP00","DE",2012-10-01,114
"197","I05","CP00","FR",2012-10-01,114.16
"198","I05","CP00","PL",2012-10-01,124.8
"199","I05","CP00","DE",2012-09-01,113.9
"200","I05","CP00","FR",2012-09-01,113.93
"201","I05","CP00","PL",2012-09-01,124.5
"202","I05","CP00","DE",2012-08-01,113.9
"203","I05","CP00","FR",2012-08-01,114.21
"204","I05","CP00","PL",2012-08-01,124.4
"205","I05","CP00","DE",2012-07-01,113.5
"206","I05","CP00","FR",2012-07-01,113.4
"207","I05","CP00","PL",2012-07-01,124.7
"208","I05","CP00","DE",2012-06-01,113.1
"209","I05","CP00","FR",2012-06-01,113.99
"210","I05","CP00","PL",2012-06-01,125.3
"211","I05","CP00","DE",2012-05-01,113.3
"212","I05","CP00","FR",2012-05-01,113.93
"213","I05","CP00","PL",2012-05-01,125
"214","I05","CP00","DE",2012-04-01,113.5
"215","I05","CP00","FR",2012-04-01,113.99
"216","I05","CP00","PL",2012-04-01,124.8
"217","I05","CP00","DE",2012-03-01,113.4
"218","I05","CP00","FR",2012-03-01,113.79
"219","I05","CP00","PL",2012-03-01,124.1
"220","I05","CP00","DE",2012-02-01,112.9
"221","I05","CP00","FR",2012-02-01,112.75
"222","I05","CP00","PL",2012-02-01,123.5
"223","I05","CP00","DE",2012-01-01,111.9
"224","I05","CP00","FR",2012-01-01,112.21
"225","I05","CP00","PL",2012-01-01,123
"226","I05","CP00","DE",2011-12-01,112.5
"227","I05","CP00","FR",2011-12-01,112.66
"228","I05","CP00","PL",2011-12-01,122.2
"229","I05","CP00","DE",2011-11-01,111.7
"230","I05","CP00","FR",2011-11-01,112.16
"231","I05","CP00","PL",2011-11-01,121.6
"232","I05","CP00","DE",2011-10-01,111.7
"233","I05","CP00","FR",2011-10-01,111.82
"234","I05","CP00","PL",2011-10-01,120.7
"235","I05","CP00","DE",2011-09-01,111.6
"236","I05","CP00","FR",2011-09-01,111.52
"237","I05","CP00","PL",2011-09-01,119.9
"238","I05","CP00","DE",2011-08-01,111.4
"239","I05","CP00","FR",2011-08-01,111.56
"240","I05","CP00","PL",2011-08-01,119.9
"241","I05","CP00","DE",2011-07-01,111.4
"242","I05","CP00","FR",2011-07-01,110.92
"243","I05","CP00","PL",2011-07-01,119.9
"244","I05","CP00","DE",2011-06-01,110.9
"245","I05","CP00","FR",2011-06-01,111.48
"246","I05","CP00","PL",2011-06-01,120.2
"247","I05","CP00","DE",2011-05-01,110.9
"248","I05","CP00","FR",2011-05-01,111.38
"249","I05","CP00","PL",2011-05-01,120.6
"250","I05","CP00","DE",2011-04-01,111.1
"251","I05","CP00","FR",2011-04-01,111.31
"252","I05","CP00","PL",2011-04-01,120
"253","I05","CP00","DE",2011-03-01,110.8
"254","I05","CP00","FR",2011-03-01,110.9
"255","I05","CP00","PL",2011-03-01,119.4
"256","I05","CP00","DE",2011-02-01,110.1
"257","I05","CP00","FR",2011-02-01,109.95
